#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__Fen-1039	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__Fen-1039|s__Fen-1039	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__Palsa-1033	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__Palsa-1033|s__Palsa-1033	1
d__Bacteria|p__Eremiobacterota	2
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria	2
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales	2
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae	2
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Baltobacteraceae	1
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Baltobacteraceae|s__Baltobacteraceae	1
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Velthaea	1
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Velthaea|s__Velthaea	1
d__Bacteria|p__Gemmatimonadota	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Fen-1231	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Fen-1231|s__Fen-1231	1
d__Bacteria|p__Myxococcota	12
d__Bacteria|p__Myxococcota|c__Myxococcia	4
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales	4
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__40CM-4-68-19	1
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__40CM-4-68-19|g__40CM-4-68-19	1
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__40CM-4-68-19|g__40CM-4-68-19|s__40CM-4-68-19	1
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae	3
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae|g__JADGRA01	3
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae|g__JADGRA01|s__JADGRA01	3
d__Bacteria|p__Myxococcota|c__Polyangia	8
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104_A	5
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104_A|f__Fen-1088	5
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104_A|f__Fen-1088|g__Fen-1088	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104_A|f__Fen-1088|g__Fen-1088|s__Fen-1088	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104_A|f__Fen-1088|g__Fen-1118	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104_A|f__Fen-1088|g__Fen-1118|s__Fen-1118	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104_A|f__Fen-1088|g__JADGRB01	3
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104_A|f__Fen-1088|g__JADGRB01|s__JADGRB01	3
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales	3
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales|f__Polyangiaceae	3
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales|f__Polyangiaceae|g__Palsa-1150	2
